Index:PostionX:PostionY:PostionZ:RotationAngleX:RotationAngleY:RotationAngleZ:PhotonTime
0:-4,185622E-21:0,3999934:8,88231E-18:0:0:1:2338739,42
0:-4,185622E-21:0,3999934:8,88231E-18:0:0:1:2338739,42
3:-0,00754075:0,5079103:-0,001168954:360:360:1:2338739,47
3:-0,00754075:0,5079103:-0,001168954:360:360:1:2338739,47
4:-0,01234252:0,5138644:0,003403095:360:0:2:2338739,504
5:-0,0175583:0,5163224:0,01132496:360:360:2:2338739,52
6:-0,02204633:0,5174887:0,0201152:1:360:2:2338739,541
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
44:-0,008987533:0,5000002:0,03342073:1:360:1:2338740,291
46:-0,00749058:0,5030155:0,3196751:1:360:360:2338740,342
47:-0,006245754:0,5068632:0,456928:2:360:360:2338740,357
47:-0,006245754:0,5068632:0,456928:2:360:360:2338740,357
49:-0,003815366:0,5232736:0,722851:4:360:1:2338740,392
50:-0,003280926:0,5356432:0,8477573:5:360:1:2338740,422
50:-0,003280926:0,5356432:0,8477573:5:360:1:2338740,422
50:-0,003280926:0,5356432:0,8477573:5:360:1:2338740,422
52:-0,002110229:0,5690643:1,097024:9:360:1:2338740,455
55:-0,0005687121:0,64551:1,416032:21:360:1:2338740,522
